plu,category,commodity,variety,size,measurements_north_america,measurements_rest_of_world,restrictions_notes,botanical_name,aka,notes,revision_date,date_added,gpc,image_url,image
3038,Fruits,Passion Fruit,"Granadilla, Orange",All Sizes,NA,NA,NA,Passiflorae.var. flavicarpa,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3039,Fruits,Physalis/Cape Gooseberry/Ground Cherry,NA,All Sizes,NA,NA,NA,Physalis spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3039-cape-gooseberry_1630596655.jpg,3039-cape-gooseberry_1630596655.jpg
3040,Fruits,Pitahaya,Red (skin color),All Sizes,NA,NA,NA,Hylocereus lindatus,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3040-pitaya-dragon-fruit-01_1614282658.jpg,3040-pitaya-dragon-fruit-01_1614282658.jpg
3041,Fruits,Rambutan,NA,All Sizes,NA,NA,NA,Nephelium lappaceum,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3041-rambutan-02_1614283029.jpg,3041-rambutan-02_1614283029.jpg
3042,Fruits,Mangosteen,NA,All Sizes,NA,NA,NA,Garcinia mangostana,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3042-mangosteen-01_1614619394.jpg,3042-mangosteen-01_1614619394.jpg
3043,Fruits,Grapes,"Italia, Seeded",All Sizes,NA,NA,NA,Vitis vinifera,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3044,Fruits,Apricots,Black Velvet,All Sizes,NA,NA,NA,Prunus armeniaca,NA,NA,2021-03-01,2006-11-15,NA,http://check.ifpsglobal.com/file/view/3044-apricots-black-velvet-03_1614619576.jpg,3044-apricots-black-velvet-03_1614619576.jpg
3045,Fruits,Dates,"Fresh, On Branch",All Sizes,NA,NA,NA,Phoenix dactylifera,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3046,Fruits,Dates,"Fresh, Frozen",All Sizes,NA,NA,NA,Phoenix dactylifera,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3047,Fruits,Dates,Medjool,All Sizes,NA,NA,NA,Phoenix dactylifera,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3048,Vegetables,Beans,Helda/Flat,All Sizes,NA,NA,NA,Phaseolus vulgaris,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3049,Vegetables,Beans,Fine,All Sizes,NA,NA,NA,Phaseolus vulgaris,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3050,Vegetables,Cabbage,Dutch White/Winter White,All Sizes,NA,NA,NA,Brassica oleracea,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3051,Vegetables,Cabbage,Spring Cabbage/Spring Greens,All Sizes,NA,NA,NA,Brassica oleracea,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3052,Vegetables,Garlic,String,All Sizes,NA,NA,NA,Allium sativum,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3053,Vegetables,Parsnip,Baby,All Sizes,NA,NA,NA,Pastinaca sativa,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3054,Vegetables,Peppers (Capsicums),Elongated (Clovis Red/Lamuyo Red),All Sizes,NA,NA,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3055,Vegetables,Peppers (Capsicums),Elongated (Clovis Green/Lamuyo Green),All Sizes,NA,NA,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3056,Vegetables,Peppers (Capsicums),Elongated (Clovis Yellow/Lamuyo Yellow),All Sizes,NA,NA,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3057,Vegetables,Peppers (Capsicums),Elongated (Clovis Orange/Lamuyo Orange),All Sizes,NA,NA,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3058,Vegetables,Peppers (Capsicums),Elongated (Clovis White/Lamuyo White),All Sizes,NA,NA,NA,Capsicum spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
